date,nav_mult_3y,nav_mult_5y,nav_mult_10y,dd_3y,dd_5y,dd_10y,hs300_mult_10y,nav_3y_yuan,nav_5y_yuan,nav_10y_yuan
2023-09-15,1.0055,1.3856,5.1631,-0.0144,-0.0144,-0.0144,1.1717,10224078.6561,10224078.6561,10224078.6561
2023-09-22,1.0096,1.3912,5.1841,-0.0104,-0.0104,-0.0104,1.1607,10265719.7652,10265719.7652,10265719.7652
2023-09-28,1.0137,1.3969,5.2054,-0.0064,-0.0064,-0.0064,1.1672,10307766.7402,10307766.7402,10307766.7402
2023-10-13,1.0028,1.3819,5.1494,-0.0170,-0.0170,-0.0170,1.1535,10196976.0638,10196976.0638,10196976.0638
2023-10-20,0.9894,1.3634,5.0806,-0.0302,-0.0302,-0.0302,1.1091,10060752.2930,10060752.2930,10060752.2930
2023-10-27,0.9820,1.3532,5.0426,-0.0374,-0.0374,-0.0374,1.0929,9985527.3783,9985527.3783,9985527.3783
2023-11-03,0.9936,1.3693,5.1024,-0.0260,-0.0260,-0.0260,1.1255,10103816.8362,10103816.8362,10103816.8362
2023-11-10,0.9956,1.3720,5.1126,-0.0241,-0.0241,-0.0241,1.1326,10124151.7683,10124151.7683,10124151.7683
2023-11-17,0.9901,1.3643,5.0841,-0.0295,-0.0295,-0.0295,1.1234,10067569.7372,10067569.7372,10067569.7372
2023-11-24,0.9927,1.3679,5.0974,-0.0270,-0.0270,-0.0270,1.1180,10094063.0473,10094063.0473,10094063.0473
2023-12-01,0.9841,1.3561,5.0533,-0.0354,-0.0354,-0.0354,1.0934,10006679.6541,10006679.6541,10006679.6541
2023-12-08,0.9711,1.3383,4.9869,-0.0481,-0.0481,-0.0481,1.0673,9875056.0935,9875056.0935,9875056.0935
2023-12-15,0.9660,1.3311,4.9603,-0.0531,-0.0531,-0.0531,1.0577,9822455.6853,9822455.6853,9822455.6853
2023-12-22,0.9654,1.3303,4.9572,-0.0537,-0.0537,-0.0537,1.0401,9816330.3092,9816330.3092,9816330.3092
2023-12-29,0.9753,1.3440,5.0082,-0.0440,-0.0440,-0.0440,1.0482,9917254.0682,9917254.0682,9917254.0682
2024-01-05,0.9778,1.3475,5.0212,-0.0415,-0.0415,-0.0415,1.0495,9943039.3402,9943039.3402,9943039.3402
2024-01-12,0.9761,1.3450,5.0121,-0.0432,-0.0432,-0.0432,1.0346,9925099.1370,9925099.1370,9925099.1370
2024-01-19,0.9685,1.3346,4.9733,-0.0507,-0.0507,-0.0507,1.0045,9848134.2166,9848134.2166,9848134.2166
2024-01-26,0.9739,1.3420,5.0008,-0.0454,-0.0454,-0.0454,1.0097,9902690.1155,9902690.1155,9902690.1155
2024-02-02,0.9870,1.3601,5.0681,-0.0326,-0.0326,-0.0326,0.9845,10035956.8990,10035956.8990,10035956.8990
2024-02-08,0.9934,1.3689,5.1010,-0.0263,-0.0263,-0.0263,0.9855,10101026.3964,10101026.3964,10101026.3964
2024-02-23,1.0204,1.4062,5.2399,0.0000,0.0000,0.0000,1.0655,10376141.8803,10376141.8803,10376141.8803
2024-03-01,1.0331,1.4236,5.3050,0.0000,0.0000,0.0000,1.0887,10504994.0016,10504994.0016,10504994.0016
2024-03-08,1.0374,1.4296,5.3273,0.0000,0.0000,0.0000,1.1122,10549283.0054,10549283.0054,10549283.0054
2024-03-15,1.0386,1.4313,5.3335,0.0000,0.0000,0.0000,1.1192,10561424.7105,10561424.7105,10561424.7105
2024-03-22,1.0765,1.4835,5.5279,0.0000,0.0000,0.0000,1.1157,10946473.4822,10946473.4822,10946473.4822
2024-03-29,1.0401,1.4332,5.3408,-0.0338,-0.0338,-0.0338,1.1051,10575940.4183,10575940.4183,10575940.4183
2024-04-03,1.0554,1.4543,5.4195,-0.0196,-0.0196,-0.0196,1.1248,10731726.7125,10731726.7125,10731726.7125
2024-04-12,1.0319,1.4220,5.2988,-0.0414,-0.0414,-0.0414,1.0990,10492795.6885,10492795.6885,10492795.6885
2024-04-19,1.0537,1.4520,5.4107,-0.0212,-0.0212,-0.0212,1.1001,10714361.9552,10714361.9552,10714361.9552
